Hs	Hrs	He	Hal	Ht
0.439311676927151	0.366298578649338	0.470966711562632	0.514764636969209	0.522158897646525
0.451363703364261	0.431596509490069	0.278614548494285	0.248965571908346	0.549501681365382
0.59877279749156	0.662022520526738	0.665977773044502	0.619113650899582	0.543131381429203
0.473249967517316	0.425842006167533	0.437732457477328	0.475956040291285	0.52624947920195
0.507922016804967	0.550731433312486	0.58160366695786	0.53074106504013	0.549501681365382
0.452920461366165	0.448990458836472	0.111760755922608	0.0981420302563344	0.56350708080667
0.43107836143147	0.38631634077773	0.334767605929485	0.296534803252246	0.546494141275025
0.524517898194736	0.565365778150274	0.664080500700209	0.59496505139408	0.55049840070813
0.544115226754243	0.583677785925028	0.604550599157504	0.542876550353299	0.549357036289163
0.518906728923003	0.53823881441759	0.520745329477863	0.465114013189577	0.551812511895378
0.563004234768098	0.595036123661749	0.563688926560873	0.600772514759881	0.5189201310748
0.536987050125635	0.576252018126271	0.499896278307902	0.529785024829531	0.52624947920195
0.403402787982217	0.335224405644083	0.42878098917649	0.474787458913641	0.524039608246999
0.548676239016542	0.562441428263182	0.50892890291644	0.457169712003645	0.549467314022794
0.478179624231247	0.510501536223458	0.505801001591233	0.459381060738406	0.547645655127624
0.59176275118435	0.682246165646016	0.899646987002338	0.829576208306093	0.55028376065659
0.567061413116711	0.668203491533961	0.467308802908569	0.43264988158015	0.557209887646797
0.456408760947377	0.419324786015551	0.442151200061357	0.472775908917006	0.528237724820117
0.572905318182963	0.687436973529454	0.818812122605285	0.755004916330561	0.553199526881692
0.503136324597517	0.476144769745136	0.310134955032656	0.266066554960426	0.56350708080667
0.487878981671367	0.499391987315608	0.452203588495812	0.408505472672342	0.548635451738003
0.522053899331517	0.534259466001841	0.524366945675583	0.561141877992633	0.521870047665536
0.539671419115155	0.609751591315529	0.932374917621136	0.825891753465898	0.56350708080667
0.477762658536981	0.513652564249936	0.522254148709272	0.550159494744008	0.526021483340938
0.471531654058227	0.45520143914729	0.324262825926107	0.288495937508054	0.553199526881692
0.458464994154923	0.468824506720968	0.401308962588209	0.349674775275423	0.548775349976467
0.550000156528914	0.583866432871886	0.524160135381992	0.549032818620651	0.527103745092493
0.389310122100458	0.351564365854101	0.357761672829709	0.312726335776757	0.548293578793632
0.52078337940541	0.61496459383358	0.573632493279166	0.595848509165795	0.52624947920195
0.511408178703303	0.494834512074689	0.528943389258011	0.560242073680301	0.524231147721427
0.494156157724277	0.521607899032072	0.508504367380314	0.464102271002434	0.549420075523522
0.485948448323014	0.433252339286193	0.516718420027242	0.549496019162918	0.524231147721427
0.477785375056435	0.428495756888094	0.511475544166228	0.544907227689188	0.524231147721427
0.464477997483531	0.455123414102864	0.419658951241411	0.380098236710356	0.549420075523522
0.424002689762472	0.347760933458825	0.475775307066585	0.517051394811628	0.52294609888958
